Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2024-01-01,PHI,CAR,1,4,A,0,1,A
2024-01-01,DAL,SJS,5,2,H,1,1,D
2024-01-01,SEA,NSH,3,0,H,0,0,D
2024-01-01,LAK,BUF,0,1,A,0,0,D
2024-01-01,BOS,UTA,1,0,H,0,0,D
2024-01-01,OTT,VGK,2,3,A,0,1,A
2024-01-01,DET,NYI,2,1,H,0,1,A
2024-01-01,NJD,CAR,4,2,H,1,1,D
2024-01-01,WSH,COL,1,2,A,1,0,H
2024-01-01,CBJ,TBL,7,6,H,1,3,A
2024-01-01,STL,SJS,2,2,D,1,1,D
2024-01-01,CHI,FLA,3,1,H,1,0,H
2024-01-01,CGY,NYR,3,2,H,1,0,H
2024-01-01,EDM,MIN,3,5,A,1,1,D
2024-01-01,PIT,WPG,1,4,A,0,1,A
2024-01-01,ANA,BUF,2,3,A,1,0,H
2024-01-01,PHI,CHI,3,2,H,0,1,A
2024-01-01,CGY,MIN,3,3,D,1,1,D
2024-01-01,LAK,SEA,2,1,H,0,0,D
2024-01-01,FLA,COL,4,7,A,2,1,H
2024-01-01,MTL,VGK,2,6,A,0,0,D
2024-01-01,OTT,VAN,3,4,A,0,1,A
2024-01-01,DET,BOS,1,2,A,1,1,D
2024-01-01,TBL,DAL,2,4,A,2,2,D
2024-01-01,PIT,UTA,1,6,A,0,2,A
2024-01-01,WSH,NJD,2,3,A,1,1,D
2024-01-01,CBJ,CAR,4,4,D,2,1,H
2024-01-01,NSH,WPG,4,1,H,1,0,H
2024-01-01,NYI,STL,3,1,H,1,0,H
2024-01-01,SJS,BUF,2,4,A,1,1,D
2024-01-01,EDM,NYR,6,2,H,2,0,H
2024-01-01,TOR,UTA,3,2,H,0,1,A
2024-01-01,TBL,COL,8,2,H,5,1,H
2024-01-01,FLA,WSH,1,4,A,1,1,D
2024-01-01,NJD,NSH,5,2,H,1,1,D
2024-01-01,NYR,STL,2,5,A,1,1,D
2024-01-01,PHI,VGK,4,4,D,2,0,H
2024-01-01,CAR,DAL,6,4,H,1,2,A
2024-01-01,OTT,CGY,4,3,H,1,1,D
2024-01-01,NYI,DET,2,4,A,1,1,D
2024-01-01,MIN,WPG,1,4,A,1,1,D
2024-01-01,ANA,SEA,2,3,A,1,1,D
2024-01-01,SJS,LAK,7,2,H,1,0,H
2024-01-01,BOS,VAN,0,2,A,0,0,D
2024-01-01,MTL,UTA,2,3,A,0,0,D
2024-01-01,BUF,MIN,0,1,A,0,1,A
2024-01-01,NJD,STL,0,3,A,0,3,A
2024-01-01,CAR,NYR,4,3,H,1,1,D
2024-01-01,DET,CGY,2,1,H,1,0,H
2024-01-01,TBL,WSH,4,5,A,2,0,H
2024-01-01,FLA,TOR,5,1,H,2,0,H
2024-01-01,NYI,BOS,3,6,A,1,2,A
2024-01-01,PIT,VAN,5,4,H,4,1,H
2024-01-01,CBJ,MTL,3,4,A,1,1,D
2024-01-01,NSH,PHI,2,3,A,2,1,H
2024-01-01,CHI,DAL,6,2,H,2,0,H
2024-01-01,COL,VGK,1,1,D,0,0,D
2024-01-01,LAK,WPG,4,1,H,1,0,H
2024-01-01,SEA,ANA,2,5,A,1,2,A
2024-01-01,SJS,OTT,3,4,A,0,2,A
2024-01-01,PHI,NYR,3,1,H,2,0,H
2024-01-01,MIN,CHI,3,2,H,0,1,A
2024-01-01,BUF,VAN,3,4,A,1,0,H
2024-01-01,DET,NJD,4,5,A,2,2,D
2024-01-01,WSH,NYI,5,4,H,2,1,H
2024-01-01,CAR,FLA,3,6,A,1,3,A
2024-01-01,CBJ,CGY,5,2,H,2,0,H
2024-01-01,NSH,TBL,2,3,A,1,0,H
2024-01-01,ANA,LAK,1,2,A,0,0,D
2024-01-01,SJS,SEA,8,5,H,2,3,A
2024-01-01,BOS,PIT,1,2,A,1,0,H
2024-01-01,DAL,COL,5,3,H,2,1,H
2024-01-01,VGK,WPG,4,3,H,2,1,H
2024-01-01,UTA,EDM,3,4,A,2,0,H
2024-01-01,NYR,MTL,4,3,H,2,1,H
2024-01-01,FLA,CAR,6,0,H,0,0,D
2024-01-01,TBL,TOR,3,5,A,0,1,A
2024-01-01,NJD,WSH,5,6,A,1,1,D
2024-01-01,PIT,CGY,6,2,H,1,0,H
2024-01-01,STL,PHI,2,3,A,0,1,A
2024-01-01,LAK,OTT,5,2,H,1,1,D
2024-01-01,NYI,BUF,3,0,H,0,0,D
2024-01-01,MIN,NSH,3,2,H,1,1,D
2024-01-01,COL,EDM,1,4,A,1,1,D
