Date,HomeTeam,AwayTeam,HomeScore,AwayScore,FTR
20/04/2025 17:37,Toronto Blue Jays,Seattle Mariners,3,8,A
20/04/2025 17:40,Detroit Tigers,Kansas City Royals,3,4,A
20/04/2025 17:40,New York Mets,St. Louis Cardinals,7,4,H
20/04/2025 17:40,Tampa Bay Rays,New York Yankees,0,4,A
20/04/2025 18:10,Milwaukee Brewers,Athletics,14,1,H
20/04/2025 18:20,Chicago Cubs,Arizona Diamondbacks,2,3,A
20/04/2025 18:35,Texas Rangers,Los Angeles Dodgers,0,1,A
20/04/2025 19:10,Colorado Rockies,Washington Nationals,2,3,A
20/04/2025 20:07,Los Angeles Angels,San Francisco Giants,5,4,H
20/04/2025 23:10,Houston Astros,San Diego Padres,2,3,A
21/04/2025 00:10,Colorado Rockies,Washington Nationals,3,1,H
21/04/2025 15:10,Boston Red Sox,Chicago White Sox,4,2,H
21/04/2025 22:10,Cleveland Guardians,New York Yankees,6,4,H
21/04/2025 22:40,Detroit Tigers,San Diego Padres,6,4,H
21/04/2025 22:40,Miami Marlins,Cincinnati Reds,6,3,H
21/04/2025 23:10,New York Mets,Philadelphia Phillies,5,4,H
21/04/2025 23:15,Atlanta Braves,St. Louis Cardinals,7,6,H
22/04/2025 00:10,Houston Astros,Toronto Blue Jays,7,0,H
22/04/2025 01:45,San Francisco Giants,Milwaukee Brewers,5,2,H
22/04/2025 22:10,Cleveland Guardians,New York Yankees,3,2,H
22/04/2025 22:40,Detroit Tigers,San Diego Padres,0,2,A
22/04/2025 22:40,Miami Marlins,Cincinnati Reds,4,3,H
22/04/2025 22:45,Washington Nationals,Baltimore Orioles,7,0,H
22/04/2025 22:45,Boston Red Sox,Seattle Mariners,8,3,H
22/04/2025 23:10,New York Mets,Philadelphia Phillies,5,1,H
22/04/2025 23:15,Atlanta Braves,St. Louis Cardinals,4,10,A
22/04/2025 23:40,Kansas City Royals,Colorado Rockies,4,3,H
22/04/2025 23:40,Chicago Cubs,Los Angeles Dodgers,11,10,H
22/04/2025 23:40,Minnesota Twins,Chicago White Sox,4,2,H
23/04/2025 00:10,Houston Astros,Toronto Blue Jays,5,1,H
23/04/2025 01:38,Los Angeles Angels,Pittsburgh Pirates,3,9,A
23/04/2025 01:40,Arizona Diamondbacks,Tampa Bay Rays,5,1,H
23/04/2025 01:45,San Francisco Giants,Milwaukee Brewers,3,11,A
23/04/2025 02:05,Athletics,Texas Rangers,5,8,A
23/04/2025 16:15,Atlanta Braves,St. Louis Cardinals,4,1,H
23/04/2025 17:10,Detroit Tigers,San Diego Padres,6,0,H
23/04/2025 17:10,New York Mets,Philadelphia Phillies,4,3,H
23/04/2025 17:10,Miami Marlins,Cincinnati Reds,2,5,A
23/04/2025 17:10,Cleveland Guardians,New York Yankees,1,5,A
23/04/2025 22:45,Washington Nationals,Baltimore Orioles,4,3,H
23/04/2025 22:45,Boston Red Sox,Seattle Mariners,5,8,A
23/04/2025 23:00,Chicago Cubs,Los Angeles Dodgers,7,6,H
23/04/2025 23:40,Houston Astros,Toronto Blue Jays,3,1,H
23/04/2025 23:40,Minnesota Twins,Chicago White Sox,6,3,H
24/04/2025 01:38,Los Angeles Angels,Pittsburgh Pirates,0,3,A
24/04/2025 01:40,Arizona Diamondbacks,Tampa Bay Rays,6,7,A
24/04/2025 01:45,San Francisco Giants,Milwaukee Brewers,4,2,H
24/04/2025 02:05,Athletics,Texas Rangers,5,2,H
24/04/2025 17:10,Minnesota Twins,Chicago White Sox,0,3,A
24/04/2025 17:35,Boston Red Sox,Seattle Mariners,3,4,A
24/04/2025 18:10,Kansas City Royals,Colorado Rockies,7,4,H
24/04/2025 18:15,Kansas City Royals,Colorado Rockies,6,2,H
24/04/2025 19:45,San Francisco Giants,Milwaukee Brewers,6,5,H
24/04/2025 22:45,Washington Nationals,Baltimore Orioles,1,2,A
25/04/2025 01:29,Los Angeles Angels,Pittsburgh Pirates,4,3,H
25/04/2025 01:40,Arizona Diamondbacks,Tampa Bay Rays,4,7,A
25/04/2025 02:05,Athletics,Texas Rangers,5,3,H
25/04/2025 18:20,Chicago Cubs,Philadelphia Phillies,4,0,H
25/04/2025 22:45,Washington Nationals,New York Mets,5,4,H
25/04/2025 23:05,New York Yankees,Toronto Blue Jays,2,4,A
25/04/2025 23:40,Kansas City Royals,Houston Astros,2,0,H
25/04/2025 23:40,Minnesota Twins,Los Angeles Angels,11,4,H
26/04/2025 00:15,St. Louis Cardinals,Milwaukee Brewers,3,2,H
26/04/2025 00:40,Colorado Rockies,Cincinnati Reds,7,8,A
26/04/2025 01:40,San Diego Padres,Tampa Bay Rays,0,1,A
26/04/2025 01:40,Arizona Diamondbacks,Atlanta Braves,2,8,A
26/04/2025 01:40,Seattle Mariners,Miami Marlins,4,8,A
26/04/2025 02:05,Athletics,Chicago White Sox,6,5,H
26/04/2025 02:10,Los Angeles Dodgers,Pittsburgh Pirates,0,3,A
26/04/2025 02:15,San Francisco Giants,Texas Rangers,0,2,A
