Season,HomeTeam,AwayTeam,HomeScore,AwayScore,FTR
2024,Texas Tech,Baylor,35,59,A
2024,Mississippi State,Texas A&M,24,34,A
2024,Southern Miss,Arkansas State,28,44,A
2024,Vanderbilt,Ball State,24,14,H
2024,Arkansas,LSU,10,34,A
2024,Iowa State,UCF,38,35,H
2024,Memphis,North Texas,52,44,H
2024,West Virginia,Kansas State,18,45,A
2024,Michigan State,Iowa,32,20,H
2024,Florida,Kentucky,48,20,H
2024,Texas,Georgia,15,30,A
2024,Stanford,SMU,10,40,A
2024,Air Force,Colorado State,13,21,A
2024,Oregon State,UNLV,25,33,A
2024,Utah,TCU,7,13,A
2024,FIU,Sam Houston State,7,10,A
2024,Louisiana Tech,UTEP,14,10,H
2024,Kennesaw State,Liberty,27,24,H
2024,Jacksonville State,Middle Tennessee,42,20,H
2024,Old Dominion,Georgia Southern,47,19,H
2024,Pittsburgh,Syracuse,41,13,H
2024,Boston College,Louisville,27,31,A
2024,UNLV,Boise State,24,29,A
2024,USC,Rutgers,42,20,H
2024,Indiana,Washington,31,17,H
2024,Navy,Notre Dame,14,51,A
2024,Ohio,Buffalo,47,16,H
2024,Virginia Tech,Georgia Tech,21,6,H
2024,Ohio State,Nebraska,21,17,H
2024,Memphis,Charlotte,33,28,H
2024,North Texas,Tulane,37,45,A
2024,Ole Miss,Oklahoma,26,14,H
2024,Virginia,North Carolina,14,41,A
2024,Mississippi State,Arkansas,25,58,A
2024,Appalachian State,Georgia State,33,26,H
2024,East Carolina,Temple,56,34,H
2024,Miami (OH),Central Michigan,46,7,H
2024,Tulsa,UTSA,46,45,H
2024,Oregon,Illinois,38,9,H
2024,Minnesota,Maryland,48,23,H
2024,Iowa,Northwestern,40,14,H
2024,TCU,Texas Tech,35,34,H
2024,Baylor,Oklahoma State,38,28,H
2024,Stanford,Wake Forest,24,27,A
2024,Alabama,Missouri,34,0,H
2024,Connecticut,Rice,17,10,H
2024,Ball State,Northern Illinois,25,23,H
2024,Massachusetts,Wagner,35,7,H
2024,Western Michigan,Kent State,52,21,H
2024,Toledo,Bowling Green,26,41,A
2024,James Madison,Southern Miss,32,15,H
2024,Akron,Eastern Michigan,25,21,H
2024,UCF,BYU,24,37,A
2024,California,Oregon State,44,7,H
2024,Vanderbilt,Texas,24,27,A
2024,South Alabama,UL-Monroe,46,17,H
2024,Colorado State,New Mexico,17,6,H
2024,Arizona,West Virginia,26,31,A
2024,Wyoming,Utah State,25,27,A
2024,Arkansas State,Troy,34,31,H
2024,Houston,Utah,17,14,H
2024,Miami (FL),Florida State,36,14,H
2024,Wisconsin,Penn State,13,28,A
2024,Michigan,Michigan State,24,17,H
2024,Texas A&M,LSU,38,23,H
2024,Kentucky,Auburn,10,24,A
2024,Kansas State,Kansas,29,27,H
2024,Duke,SMU,27,28,A
2024,Fresno State,San Jose State,33,10,H
2024,Colorado,Cincinnati,34,23,H
2024,San Diego State,Washington State,26,29,A
2024,Hawaii,Nevada,34,13,H
2024,FIU,New Mexico State,34,13,H
2024,Texas State,UL-Lafayette,17,23,A
2024,Sam Houston State,Louisiana Tech,9,3,H
2024,Liberty,Jacksonville State,21,31,A
